Que fait la méthode `remove()` d’un itérateur ?,Supprime le dernier élément retourné,Efface tous les éléments,Déplace l’itérateur au début,Ajoute un élément dans la collection,Supprime le dernier élément retourné,none
Comment obtenir un itérateur sur une liste ?,list.iterator(),list.getIterator(),list.createIterator(),list.iterate(),list.iterator(),none
Que retourne ce code ?,"Alice",null,25,Erreur de compilation,"Alice",https://i.postimg.cc/ZRzkFp2c/Record-Person.png
Complétez ce code pour qu’il fonctionne avec une interface fonctionnelle,(a, b) -> a + b,new Operation(),Operation(a, b) -> a + b,() -> a + b,(a, b) -> a + b,https://i.postimg.cc/25H9cv1v/FI-Operation.png
Que fait ce code avec une classe interne ?,Affiche Hello,Ne compile pas,Provoque une NullPointerException,Affiche Inner class,Affiche Hello,https://i.postimg.cc/T1HRThNW/Outer-Test.png
Quel est l’intérêt de Iterator ici ?,Affiche a b c,Lève une exception,Ne compile pas,Ne fait rien,Affiche a b c,https://i.postimg.cc/tJRM255h/String-iterator.png
Quel est le parcours d’un arbre binaire de recherche pour obtenir une liste triée ?,Infixe,Préfixe,Postfixe,Niveau par niveau,Infixe,none
Comment définir un constructeur compact dans un record ?,Ne pas déclarer les paramètres,N’utiliser que `this()`,Utiliser `super()`,Ne pas préciser `public`,Ne pas déclarer les paramètres,none
Pourquoi les records ne peuvent-ils pas hériter d’autres classes ?,Java interdit l’héritage multiple,Les records sont déjà des sous-classes d’Object,Pour éviter la surcharge des méthodes,Les records ne sont pas des classes,Java interdit l’héritage multiple,none
Quelle est la seule chose qu’un record peut implémenter ?,Des interfaces,Des classes abstraites,Des classes normales,Des annotations,Des interfaces,none
Quel est l’intérêt principal d’une interface fonctionnelle ?,Utilisation des expressions lambda,Optimisation mémoire,Amélioration de la lisibilité du code,Réduction du temps d’exécution,Utilisation des expressions lambda,none
Quelle interface Java permet de représenter une fonction qui ne prend aucun paramètre et ne retourne rien ?,Runnable,Consumer,Supplier,Function,Runnable,none
Quelle est la différence entre `Predicate` et `Function` ?,Predicate retourne un boolean, Function retourne un type générique,Predicate retourne un int, Function un boolean,Les deux retournent un boolean,Les deux retournent un int,Predicate retourne un boolean, Function retourne un type générique,none
Pourquoi utiliser un itérateur plutôt qu’une boucle for classique ?,Pour éviter ConcurrentModificationException,Pour améliorer les performances,Pour simplifier la syntaxe,Pour permettre l’héritage multiple,Pour éviter ConcurrentModificationException,none
Quel est l’avantage principal des Streams combinés aux itérateurs ?,Optimisation des performances,Facilité de lecture,Meilleure sécurité,Support natif des threads,Optimisation des performances,none
Quel est le problème avec ce code ?,Il ne respecte pas le contrat @FunctionalInterface,Il manque un constructeur,subtract doit être static,apply doit être public,Il ne respecte pas le contrat @FunctionalInterface,https://i.postimg.cc/4yXM3M2P/FI-Deux-Methodes.png
